순위,선수,팀,포지션,경기,선발,이닝,풋아웃,어시스트,실책,병살 처리,수비율,포일,피도루,도루 실패,도루저지율,견제사
42,플로리얼,한화,중견수,63,62,537,133,4,5,0,0.965,0,0,0,0,0
43,노시환,한화,3루수,143,143,1262,99,218,17,17,0.949,0,0,0,0,0
44,김인환,한화,1루수,6,4,34,30,6,2,5,0.947,0,0,0,0,0
45,이원석,한화,좌익수,20,2,61,17,0,1,0,0.944,0,0,0,0,0
46,임종찬,한화,우익수,13,10,86,16,0,1,0,0.941,0,0,0,0,0
47,박정현,한화,3루수,1,0,1,0,0,0,0,0,0,0,0,0,0
47,문현빈,한화,3루수,1,0,1,0,0,0,0,0,0,0,0,0,0
47,이승현,한화,2루수,2,0,3,0,0,0,0,0,0,0,0,0,0
47,최인호,한화,중견수,2,0,2,0,0,0,0,0,0,0,0,0,0
47,권광민,한화,우익수,1,1,3,0,0,0,0,0,0,0,0,0,0
47,권광민,한화,좌익수,1,0,1,0,0,0,0,0,0,0,0,0,0
47,유로결,한화,좌익수,1,0,3,0,0,0,0,0,0,0,0,0,0
47,하주석,한화,3루수,1,0,2,0,0,0,0,0,0,0,0,0,0
