순위,선수,팀,평균자책,경기,승,패,세이브,홀드,승률,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책,WHIP,완투,완봉,퀄리티스타트,상대타자,투구수,폭투,보크,블론세이브,피안타율,선발,선발승,구원승,종료,세이브기회,터프세이브,병살유도,땅볼유도,뜬공유도,BABIP,피출루율,피장타율,피OPS,땅볼/뜬공,투구수/경기,투구수/이닝,K/9,BB/9,K/BB,FIP,ERA-,FIP-,WAR,삼진비율,볼넷비율,세이브율,HR/9,H/9,LOB%
25,최우석,NC,8.16,12,0,0,0,0,0,14.3,23,1,9,0,15,16,13,2.23,0,0,0,75,282,5,0,0,0.359,0,0,0,4,0,0,1,14,13,0.449,0.432,0.484,0.916,1.08,23.5,19.7,9.42,5.65,1.67,4.06,183.2,95.3,-0.2,20,12,0,0.6,13.8,52.3
26,도태훈,NC,9,1,0,0,0,0,0,1,3,1,0,0,1,1,1,3,0,0,0,6,16,0,0,0,0.5,0,0,0,1,0,0,0,1,1,0.5,0.5,1,1.5,1,16,16,9,0,0,14.39,211.3,338,-0.1,16.7,0,0,9,27,125
27,이용찬,NC,10.57,12,1,2,0,1,0.333,15.3,23,1,12,4,14,18,18,2.28,0,0,0,83,334,2,0,1,0.348,3,0,1,1,1,0,1,14,16,0.423,0.47,0.455,0.925,0.88,27.8,21.8,8.22,7.04,1.17,5.46,237.8,128.1,-0.3,16.9,14.5,0,0.56,12.94,55.9
28,김태경,NC,10.64,6,0,0,0,1,0,11,18,4,9,2,10,20,13,2.45,0,0,0,62,266,1,0,0,0.367,4,0,0,0,1,0,0,8,13,0.4,0.483,0.673,1.156,0.62,44.3,24.2,8.18,7.36,1.11,9.3,249.8,218.4,-0.6,16.1,14.5,0,3.27,14.73,38.5
29,김태현,NC,12,5,0,0,0,1,0,3,5,2,3,2,2,4,4,2.67,0,0,0,17,69,1,0,0,0.417,0,0,0,0,1,0,0,3,2,0.375,0.588,1,1.588,1.5,13.8,23,6,9,0.67,15.73,281.8,369.3,-0.2,11.8,17.6,0,6,15,83.3
30,임상현,NC,18,1,0,0,0,0,0,1,2,0,3,0,0,2,2,5,0,0,0,8,34,0,0,0,0.4,0,0,0,0,0,0,0,0,3,0.4,0.625,0.6,1.225,0,34,34,0,27,0,12.39,422.7,291,-0.1,0,37.5,0,0,18,60
1,김성민,SSG,0,2,1,0,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,4,22,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0.5,0,0.5,1,11,33,0,27,0,6.39,0,150.1,0,0,50,0,0,0,100
1,신지환,SSG,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.25,0,0.25,1,18,18,9,0,0,4.39,0,103.2,0,25,0,0,0,0,100
3,조병현,SSG,1.6,69,5,4,30,0,0.556,67.3,42,5,18,0,79,13,12,0.89,0,0,0,255,1088,1,0,2,0.179,0,0,5,55,32,2,3,41,74,0.243,0.236,0.272,0.508,0.55,15.8,16.2,10.56,2.41,4.39,2.82,37.3,66.2,1.7,31,7.1,93.8,0.66,5.56,88.7
4,이로운,SSG,1.99,75,6,5,1,33,0.545,77,56,7,26,0,66,19,17,1.06,0,0,0,305,1261,2,0,1,0.206,0,0,6,5,31,0,5,65,88,0.243,0.272,0.305,0.577,0.74,16.8,16.4,7.71,3.04,2.54,3.87,46.7,91,1.2,21.6,8.5,3.2,0.82,6.55,87.3
