주차장명,소재지지번주소,주차구획수,규모구분,fee_type,동이름
칠성남로2길인근,대구광역시 북구 고성동1가 95-4,71,대형,,고성동1가
칠성남로31길인근,대구광역시 북구 칠성동2가 538-13,6,소형,,칠성동2가
칠성남로인근(고성동),대구광역시 북구 고성동2가 110-41,102,대형,,고성동2가
칠성농협앞,대구광역시 북구 칠성동1가 171-12,30,중형,,칠성동1가
칠성로17길인근,대구광역시 북구 침산동 163-8,32,중형,,침산동
칠성시장고가도로밑,대구광역시 북구 침산동 78-7,76,대형,,침산동
칠성시장광로,대구광역시 북구 칠성동2가 407-8,37,중형,,칠성동2가
칠성시장남편,대구광역시 북구 칠성동1가 279-1,39,중형,,칠성동1가
칠성시장동편,대구광역시 북구 칠성동1가 279-1,16,소형,,칠성동1가
칠성시장방범초소,대구광역시 북구 칠성동2가 409-24,24,중형,,칠성동2가
칠성시장북편,대구광역시 북구 칠성동1가 279-1,9,소형,,칠성동1가
칠성시장서편도로,대구광역시 북구 칠성동1가 236-1,30,중형,,칠성동1가
칠성전자상가앞,대구광역시 북구 칠성동1가 279-1,7,소형,,칠성동1가
침산남로31길인근,대구광역시 북구 침산동 286-1,14,소형,,침산동
침산남로39길인근,대구광역시 북구 침산동 5-1,18,소형,,침산동
침산남로9길인근,대구광역시 북구 침산동 1706-4,10,소형,,침산동
침산로40길인근,대구광역시 북구 침산동 531-3,4,소형,,침산동
침산로42길인근,대구광역시 북구 침산동 581,7,소형,,침산동
침산로46길인근,대구광역시 북구 침산동 565,3,소형,,침산동
침산로48길인근,대구광역시 북구 침산동 594,10,소형,,침산동
침산로인근,대구광역시 북구 침산동 823,30,중형,,침산동
태암교(동편),대구광역시 북구 구암동 714,39,중형,,구암동
태암교(서편),대구광역시 북구 태전동 1030,49,중형,,태전동
태암남로1길인근,대구광역시 북구 태전동 1041,25,중형,,태전동
태암로1길인근,대구광역시 북구 태전동 1004,8,소형,,태전동
태암로2길인근,대구광역시 북구 태전동 1039,31,중형,,태전동
태암로3길인근,대구광역시 북구 태전동 1019,41,중형,,태전동
태암로4길인근,대구광역시 북구 태전동 1043,25,중형,,태전동
태암로5길인근,대구광역시 북구 태전동 1026,33,중형,,태전동
태암로6길인근,대구광역시 북구 태전동 1045,42,중형,,태전동
팔거천서로35길인근,대구광역시 북구 읍내동 1351-2,35,중형,,읍내동
팔거천서로인근,대구광역시 북구 태전동 1073-31,52,대형,,태전동
팔달로37길인근,대구광역시 북구 노원동2가 1,27,중형,,노원동2가
